iter,fitness,moved_station,old_cell,new_cell,layout,allowed_count
87,0.41348403840605275,35,1678,2404,"[1877 3087  771 3214 1042 7040 1977 2693 3883 6118 6617 2641  962 3446
 1050 1927 1376  380 2662 3784 3151 1545 4502  812 2507 2655 3239 4276
 6980  804 7330 2247 4082 1389 3579 2404 2027 2182  618 2148]",918
88,0.4139604056247562,0,1877,1538,"[1538 3087  771 3214 1042 7040 1977 2693 3883 6118 6617 2641  962 3446
 1050 1927 1376  380 2662 3784 3151 1545 4502  812 2507 2655 3239 4276
 6980  804 7330 2247 4082 1389 3579 2404 2027 2182  618 2148]",957
89,0.41468294521528926,18,2662,2520,"[1538 3087  771 3214 1042 7040 1977 2693 3883 6118 6617 2641  962 3446
 1050 1927 1376  380 2520 3784 3151 1545 4502  812 2507 2655 3239 4276
 6980  804 7330 2247 4082 1389 3579 2404 2027 2182  618 2148]",975
90,0.4142494983486109,29,804,2090,"[1538 3087  771 3214 1042 7040 1977 2693 3883 6118 6617 2641  962 3446
 1050 1927 1376  380 2520 3784 3151 1545 4502  812 2507 2655 3239 4276
 6980 2090 7330 2247 4082 1389 3579 2404 2027 2182  618 2148]",970
91,0.41505410951053334,18,2520,2661,"[1538 3087  771 3214 1042 7040 1977 2693 3883 6118 6617 2641  962 3446
 1050 1927 1376  380 2661 3784 3151 1545 4502  812 2507 2655 3239 4276
 6980 2090 7330 2247 4082 1389 3579 2404 2027 2182  618 2148]",948
92,0.4138238683994988,26,3239,3310,"[1538 3087  771 3214 1042 7040 1977 2693 3883 6118 6617 2641  962 3446
 1050 1927 1376  380 2661 3784 3151 1545 4502  812 2507 2655 3310 4276
 6980 2090 7330 2247 4082 1389 3579 2404 2027 2182  618 2148]",990
93,0.41470455637415793,31,2247,947,"[1538 3087  771 3214 1042 7040 1977 2693 3883 6118 6617 2641  962 3446
 1050 1927 1376  380 2661 3784 3151 1545 4502  812 2507 2655 3310 4276
 6980 2090 7330  947 4082 1389 3579 2404 2027 2182  618 2148]",970
94,0.41329906686793116,39,2148,3421,"[1538 3087  771 3214 1042 7040 1977 2693 3883 6118 6617 2641  962 3446
 1050 1927 1376  380 2661 3784 3151 1545 4502  812 2507 2655 3310 4276
 6980 2090 7330  947 4082 1389 3579 2404 2027 2182  618 3421]",973
95,0.41233057637960147,28,6980,6981,"[1538 3087  771 3214 1042 7040 1977 2693 3883 6118 6617 2641  962 3446
 1050 1927 1376  380 2661 3784 3151 1545 4502  812 2507 2655 3310 4276
 6981 2090 7330  947 4082 1389 3579 2404 2027 2182  618 3421]",961
96,0.4151542349069062,24,2507,2221,"[1538 3087  771 3214 1042 7040 1977 2693 3883 6118 6617 2641  962 3446
 1050 1927 1376  380 2661 3784 3151 1545 4502  812 2221 2655 3310 4276
 6981 2090 7330  947 4082 1389 3579 2404 2027 2182  618 3421]",963
97,0.41448075785935345,7,2693,2104,"[1538 3087  771 3214 1042 7040 1977 2104 3883 6118 6617 2641  962 3446
 1050 1927 1376  380 2661 3784 3151 1545 4502  812 2221 2655 3310 4276
 6981 2090 7330  947 4082 1389 3579 2404 2027 2182  618 3421]",928
98,0.4128405935156898,18,2661,2592,"[1538 3087  771 3214 1042 7040 1977 2104 3883 6118 6617 2641  962 3446
 1050 1927 1376  380 2592 3784 3151 1545 4502  812 2221 2655 3310 4276
 6981 2090 7330  947 4082 1389 3579 2404 2027 2182  618 3421]",931
