iter,fitness,moved_station,old_cell,new_cell,layout,allowed_count
75,0.313339516838593,28,2164,1806,"[4283 3713 4781 2726 1255 6187 1831 2720  812 1017 2191 4022  962 7260
 1741 6337  592 3290 7181 2180 1121 2642 3663 2214 1379 2740 4132 1443
 1806 2837 3790 2748 4917 4502 3212 1749 3369 4224 3235 2085]",927
76,0.30969242636191596,8,812,2684,"[4283 3713 4781 2726 1255 6187 1831 2720 2684 1017 2191 4022  962 7260
 1741 6337  592 3290 7181 2180 1121 2642 3663 2214 1379 2740 4132 1443
 1806 2837 3790 2748 4917 4502 3212 1749 3369 4224 3235 2085]",960
77,0.31730147223718846,21,2642,6687,"[4283 3713 4781 2726 1255 6187 1831 2720 2684 1017 2191 4022  962 7260
 1741 6337  592 3290 7181 2180 1121 6687 3663 2214 1379 2740 4132 1443
 1806 2837 3790 2748 4917 4502 3212 1749 3369 4224 3235 2085]",932
78,0.3229924281174499,7,2720,2804,"[4283 3713 4781 2726 1255 6187 1831 2804 2684 1017 2191 4022  962 7260
 1741 6337  592 3290 7181 2180 1121 6687 3663 2214 1379 2740 4132 1443
 1806 2837 3790 2748 4917 4502 3212 1749 3369 4224 3235 2085]",941
79,0.32357297050439954,19,2180,2109,"[4283 3713 4781 2726 1255 6187 1831 2804 2684 1017 2191 4022  962 7260
 1741 6337  592 3290 7181 2109 1121 6687 3663 2214 1379 2740 4132 1443
 1806 2837 3790 2748 4917 4502 3212 1749 3369 4224 3235 2085]",949
80,0.3283446764355998,28,1806,2436,"[4283 3713 4781 2726 1255 6187 1831 2804 2684 1017 2191 4022  962 7260
 1741 6337  592 3290 7181 2109 1121 6687 3663 2214 1379 2740 4132 1443
 2436 2837 3790 2748 4917 4502 3212 1749 3369 4224 3235 2085]",923
81,0.33031937599075034,5,6187,2713,"[4283 3713 4781 2726 1255 2713 1831 2804 2684 1017 2191 4022  962 7260
 1741 6337  592 3290 7181 2109 1121 6687 3663 2214 1379 2740 4132 1443
 2436 2837 3790 2748 4917 4502 3212 1749 3369 4224 3235 2085]",937
82,0.3279671997898028,23,2214,460,"[4283 3713 4781 2726 1255 2713 1831 2804 2684 1017 2191 4022  962 7260
 1741 6337  592 3290 7181 2109 1121 6687 3663  460 1379 2740 4132 1443
 2436 2837 3790 2748 4917 4502 3212 1749 3369 4224 3235 2085]",978
83,0.32921049993187546,30,3790,406,"[4283 3713 4781 2726 1255 2713 1831 2804 2684 1017 2191 4022  962 7260
 1741 6337  592 3290 7181 2109 1121 6687 3663  460 1379 2740 4132 1443
 2436 2837  406 2748 4917 4502 3212 1749 3369 4224 3235 2085]",931
84,0.33057694217826195,16,592,2285,"[4283 3713 4781 2726 1255 2713 1831 2804 2684 1017 2191 4022  962 7260
 1741 6337 2285 3290 7181 2109 1121 6687 3663  460 1379 2740 4132 1443
 2436 2837  406 2748 4917 4502 3212 1749 3369 4224 3235 2085]",893
85,0.32599902093051375,7,2804,739,"[4283 3713 4781 2726 1255 2713 1831  739 2684 1017 2191 4022  962 7260
 1741 6337 2285 3290 7181 2109 1121 6687 3663  460 1379 2740 4132 1443
 2436 2837  406 2748 4917 4502 3212 1749 3369 4224 3235 2085]",859
86,0.3164997355679383,13,7260,1390,"[4283 3713 4781 2726 1255 2713 1831  739 2684 1017 2191 4022  962 1390
 1741 6337 2285 3290 7181 2109 1121 6687 3663  460 1379 2740 4132 1443
 2436 2837  406 2748 4917 4502 3212 1749 3369 4224 3235 2085]",886
87,0.31457548710312305,7,739,885,"[4283 3713 4781 2726 1255 2713 1831  885 2684 1017 2191 4022  962 1390
 1741 6337 2285 3290 7181 2109 1121 6687 3663  460 1379 2740 4132 1443
 2436 2837  406 2748 4917 4502 3212 1749 3369 4224 3235 2085]",918
88,0.3176225558599279,23,460,7192,"[4283 3713 4781 2726 1255 2713 1831  885 2684 1017 2191 4022  962 1390
 1741 6337 2285 3290 7181 2109 1121 6687 3663 7192 1379 2740 4132 1443
 2436 2837  406 2748 4917 4502 3212 1749 3369 4224 3235 2085]",948
89,0.320396444638007,39,2085,2088,"[4283 3713 4781 2726 1255 2713 1831  885 2684 1017 2191 4022  962 1390
 1741 6337 2285 3290 7181 2109 1121 6687 3663 7192 1379 2740 4132 1443
 2436 2837  406 2748 4917 4502 3212 1749 3369 4224 3235 2088]",926
90,0.321987488612406,23,7192,3795,"[4283 3713 4781 2726 1255 2713 1831  885 2684 1017 2191 4022  962 1390
 1741 6337 2285 3290 7181 2109 1121 6687 3663 3795 1379 2740 4132 1443
 2436 2837  406 2748 4917 4502 3212 1749 3369 4224 3235 2088]",942
91,0.3285252412524612,11,4022,7330,"[4283 3713 4781 2726 1255 2713 1831  885 2684 1017 2191 7330  962 1390
 1741 6337 2285 3290 7181 2109 1121 6687 3663 3795 1379 2740 4132 1443
 2436 2837  406 2748 4917 4502 3212 1749 3369 4224 3235 2088]",981
92,0.3421767345260396,0,4283,2803,"[2803 3713 4781 2726 1255 2713 1831  885 2684 1017 2191 7330  962 1390
 1741 6337 2285 3290 7181 2109 1121 6687 3663 3795 1379 2740 4132 1443
 2436 2837  406 2748 4917 4502 3212 1749 3369 4224 3235 2088]",958
93,0.3411130940539605,18,7181,454,"[2803 3713 4781 2726 1255 2713 1831  885 2684 1017 2191 7330  962 1390
 1741 6337 2285 3290  454 2109 1121 6687 3663 3795 1379 2740 4132 1443
 2436 2837  406 2748 4917 4502 3212 1749 3369 4224 3235 2088]",969
94,0.3459016015917521,31,2748,3741,"[2803 3713 4781 2726 1255 2713 1831  885 2684 1017 2191 7330  962 1390
 1741 6337 2285 3290  454 2109 1121 6687 3663 3795 1379 2740 4132 1443
 2436 2837  406 3741 4917 4502 3212 1749 3369 4224 3235 2088]",958
95,0.34567244263137853,26,4132,7110,"[2803 3713 4781 2726 1255 2713 1831  885 2684 1017 2191 7330  962 1390
 1741 6337 2285 3290  454 2109 1121 6687 3663 3795 1379 2740 7110 1443
 2436 2837  406 3741 4917 4502 3212 1749 3369 4224 3235 2088]",978
96,0.3371843663691386,19,2109,3631,"[2803 3713 4781 2726 1255 2713 1831  885 2684 1017 2191 7330  962 1390
 1741 6337 2285 3290  454 3631 1121 6687 3663 3795 1379 2740 7110 1443
 2436 2837  406 3741 4917 4502 3212 1749 3369 4224 3235 2088]",984
97,0.32907606872556044,21,6687,2178,"[2803 3713 4781 2726 1255 2713 1831  885 2684 1017 2191 7330  962 1390
 1741 6337 2285 3290  454 3631 1121 2178 3663 3795 1379 2740 7110 1443
 2436 2837  406 3741 4917 4502 3212 1749 3369 4224 3235 2088]",937
