iter,fitness,moved_station,old_cell,new_cell,layout
75,0.29900080190878536,28,1803,1887,"[3744 3374 4781 2657 1255 4204 1967 2720  812 1108 2566 3646  962 6976
  947 3656 1235 2762 7252 1120 1172 2642 3464 2214  753 2303 3228 1392
 1887 2175 3145 2432 4081 3650 2261 1749 2732 3777 3663 1997]"
76,0.29701514302540444,8,812,3066,"[3744 3374 4781 2657 1255 4204 1967 2720 3066 1108 2566 3646  962 6976
  947 3656 1235 2762 7252 1120 1172 2642 3464 2214  753 2303 3228 1392
 1887 2175 3145 2432 4081 3650 2261 1749 2732 3777 3663 1997]"
77,0.2954355473008398,21,2642,6127,"[3744 3374 4781 2657 1255 4204 1967 2720 3066 1108 2566 3646  962 6976
  947 3656 1235 2762 7252 1120 1172 6127 3464 2214  753 2303 3228 1392
 1887 2175 3145 2432 4081 3650 2261 1749 2732 3777 3663 1997]"
78,0.2939481905451953,7,2720,4022,"[3744 3374 4781 2657 1255 4204 1967 4022 3066 1108 2566 3646  962 6976
  947 3656 1235 2762 7252 1120 1172 6127 3464 2214  753 2303 3228 1392
 1887 2175 3145 2432 4081 3650 2261 1749 2732 3777 3663 1997]"
79,0.2874159536315546,19,1120,2170,"[3744 3374 4781 2657 1255 4204 1967 4022 3066 1108 2566 3646  962 6976
  947 3656 1235 2762 7252 2170 1172 6127 3464 2214  753 2303 3228 1392
 1887 2175 3145 2432 4081 3650 2261 1749 2732 3777 3663 1997]"
80,0.295149011611044,28,1887,3078,"[3744 3374 4781 2657 1255 4204 1967 4022 3066 1108 2566 3646  962 6976
  947 3656 1235 2762 7252 2170 1172 6127 3464 2214  753 2303 3228 1392
 3078 2175 3145 2432 4081 3650 2261 1749 2732 3777 3663 1997]"
81,0.29851729692760914,5,4204,3238,"[3744 3374 4781 2657 1255 3238 1967 4022 3066 1108 2566 3646  962 6976
  947 3656 1235 2762 7252 2170 1172 6127 3464 2214  753 2303 3228 1392
 3078 2175 3145 2432 4081 3650 2261 1749 2732 3777 3663 1997]"
82,0.3001558857760143,23,2214,628,"[3744 3374 4781 2657 1255 3238 1967 4022 3066 1108 2566 3646  962 6976
  947 3656 1235 2762 7252 2170 1172 6127 3464  628  753 2303 3228 1392
 3078 2175 3145 2432 4081 3650 2261 1749 2732 3777 3663 1997]"
83,0.3004400905131348,30,3145,521,"[3744 3374 4781 2657 1255 3238 1967 4022 3066 1108 2566 3646  962 6976
  947 3656 1235 2762 7252 2170 1172 6127 3464  628  753 2303 3228 1392
 3078 2175  521 2432 4081 3650 2261 1749 2732 3777 3663 1997]"
84,0.2970354375002042,16,1235,2370,"[3744 3374 4781 2657 1255 3238 1967 4022 3066 1108 2566 3646  962 6976
  947 3656 2370 2762 7252 2170 1172 6127 3464  628  753 2303 3228 1392
 3078 2175  521 2432 4081 3650 2261 1749 2732 3777 3663 1997]"
